"Geneid","NT_shRNA_hepg2_rep1","NT_shRNA_hepg2_rep2","TARDBP_shRNA_hepg2_rep1","TARDBP_shRNA_hepg2_rep2"
"ENSG00000159363.17_3",625,812,787,727
"ENSG00000117118.9_2",548,690,592,557
"ENSG00000179051.13_3",2713,3057,1772,1847
"ENSG00000074964.16_3",709,1145,1181,1061
"ENSG00000117148.7_2",8,8,3,4
"ENSG00000179023.8_2",63,67,142,130
"ENSG00000159423.16_3",607,915,1087,1013
"ENSG00000169991.10_3",661,721,424,485
"ENSG00000272084.1_6",2,3,5,3
"ENSG00000127481.14_3",7118,8188,8573,7678
"ENSG00000266098.1",4,2,5,5
"ENSG00000230424.1_5",11,16,15,9
"ENSG00000127463.14_6",2308,2651,3403,3192
"ENSG00000053372.4_3",766,968,458,359
"ENSG00000211454.13_3",16,20,7,18
"ENSG00000162482.4_2",7,22,8,11
"ENSG00000053371.12_5",544,676,469,425
"ENSG00000200403.1",14,14,7,1
"ENSG00000040487.12_3",195,251,263,231
"ENSG00000077549.17_4",3604,3597,2288,2472
"ENSG00000173436.14_4",97,123,70,76
"ENSG00000158747.14_4",79,77,20,18
"ENSG00000226396.1_5",4,12,19,5
"ENSG00000162542.13_3",120,145,129,146
"ENSG00000169914.5_2",667,720,406,346
"ENSG00000188257.11_3",690,713,114,137
"ENSG00000162543.5_2",3,5,1,2
"ENSG00000284743.1_3",7,7,3,6
"ENSG00000162545.5_2",10287,9001,7598,8223
"ENSG00000090432.6_2",410,459,382,361
"ENSG00000183114.7_2",72,100,51,46
"ENSG00000158825.5_2",79,78,28,29
"ENSG00000158828.7_3",369,435,358,328
"ENSG00000117242.7_6",375,411,447,450
"ENSG00000244038.9_5",3155,4034,4958,4500
"ENSG00000117245.12_3",24,16,17,17
"ENSG00000189410.11_5",78,66,54,54
"ENSG00000127483.17_3",4733,5392,3863,3798
"ENSG00000075151.20_3",3123,3281,2175,1942
"ENSG00000117298.15_4",1970,2141,2428,2177
"ENSG00000227001.3_4",20,20,6,11
"ENSG00000187952.9_4",11,14,14,7
"ENSG00000142794.18_3",153,141,113,84
"ENSG00000162551.13_4",50,19,9,11
"ENSG00000076864.19_4",526,869,814,676
"ENSG00000090686.15_2",2326,2611,1751,1549
"ENSG00000187942.11_2",2,12,1,0
"ENSG00000142798.19_4",5517,6370,6262,5862
"ENSG00000218510.8_5",70,102,97,86
"ENSG00000285721.1_1",11,6,2,1
"ENSG00000070831.15_5",19,29,18,20
"ENSG00000230068.2_5",7,1,0,2
"ENSG00000184677.17_4",962,1197,871,807
"ENSG00000237200.1_5",9,11,13,11
"ENSG00000004487.16_4",3200,3657,2145,1904
"ENSG00000169641.13_4",1119,1354,716,622
"ENSG00000179546.4_3",4,2,59,52
"ENSG00000261326.3_4",85,106,123,105
"ENSG00000125944.19_4",11960,12888,5680,5183
"ENSG00000125945.14_2",310,361,272,211
"ENSG00000249087.6_5",28,28,20,14
"ENSG00000271420.1_5",8,7,12,7
"ENSG00000204219.10_3",1802,2291,2458,2418
"ENSG00000088280.18_3",653,760,750,664
"ENSG00000007968.6_2",208,281,79,78
"ENSG00000235052.1_5",4,5,8,4
"ENSG00000117318.8_2",700,801,169,184
"ENSG00000142676.14_4",16779,19412,17728,16451
"ENSG00000011007.12_3",1839,2005,1745,1647
"ENSG00000236810.5_5",30,28,15,24
"ENSG00000057757.9_3",433,456,301,298
"ENSG00000011009.10_2",794,1047,1152,985
"ENSG00000117308.14_3",309,481,383,336
"ENSG00000117305.14_3",362,418,361,342
"ENSG00000179163.11_2",491,562,910,800
"ENSG00000189266.12_4",2281,2617,2166,1827
"ENSG00000188529.14_3",4336,4952,2695,2388
"ENSG00000225315.2_6",3,4,8,1
"ENSG00000142661.18_2",991,1173,830,741
"ENSG00000142677.3_2",191,279,340,329
"ENSG00000185436.11_2",199,192,265,228
"ENSG00000158055.15_2",6,6,7,9
"ENSG00000001460.17_3",129,169,105,97
"ENSG00000001461.16_2",207,257,249,228
"ENSG00000117602.11_2",549,515,315,291
"ENSG00000264443.1_5",3,3,5,6
"ENSG00000184454.6_3",53,95,134,108
"ENSG00000133226.16_5",6022,6268,4871,4912
"ENSG00000169504.14_3",3979,4303,3407,3170
"ENSG00000020633.18_2",9,13,6,7
"ENSG00000117614.9_3",978,1077,593,552
